Dirección Territorial,Área Protegida,Adulto nacional o extranjero residente,Niños de 5 a12 años Nacionales o Extranjeros,Estudiantes con recibo de matricula o carné vigente,Adulto Extranjero,Buzo día (Nacional),Instructores acompañantes de grupo día (Nacional),Embarcaciones 24h (Nacional),Buzo o instructor en Barco día (Bandera extranjera),Buzo o instructor en barco día (Bandera Colombiana),Embarcacion/24 Horas (Exranejeros),Ingreso Automovil,Ingreso Colectivo,Ingreso Bus - Buseta,Ingreso moto,Alojamiento cama sencilla con baño compartido (Temporada alta),Alojamiento cama sencilla con baño compartido (Temporada Baja),Espacio camping por noche (Temporada alta),Espacio camping por noche (Temporada baja),Noche Camping por persona (Temporada alta),Noche Camping por persona (Temporada baja)),Cobro único
DT Pacifico,Utria,16000,8500,8500,42000,No aplica,,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica
DT Pacifico ,Gorgona,18000,10500,10500,43000,No aplica,,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica
DT Pacifico ,Malpelo,No aplica,No aplica,No aplica,No aplica,98500,,30000,183000,97500,51500,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica
DT Andes Occidentales,Los Nevados,9500,5000,5000,27000,No aplica,,No aplica,No aplica,No aplica,No aplica,5500,16000,32500,Prohibido,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica
DT Andes Occidentales,Purace,9500,4500,4500,23000,No aplica,,No aplica,No aplica,No aplica,No aplica,9500,24000,45000,4500,39500,29000,10500,8500,9000,5000,No aplica
DT Andes Occidentales,Otun Quimbaya,5500,5500,5500,5500,No aplica,,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,5500
DT Andes Occidentales,Cueva de los Guacharos,13500,8500,8500,39500,No aplica,,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,41000,31000,10500,8500,11000,8500,No aplica
DT Andes Occidentales,Isla de la Corota,2500,2500,2500,2500,No aplica,,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,2500
DT Andes Occidentales,Galeras,2000,2000,2000,2000,No aplica,,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,2000
DT Andes Nororientales,Iguaque ,16000,8500,8500,42000,No aplica,,No aplica,No aplica,No aplica,No aplica,12500,31000,65500,8500,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica
DT Andes Nororientales,Tama,9500,4500,4500,23000,No aplica,,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica
DT Andes Nororientales,El Cocuy,28000,13500,13500,55500,No aplica,,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica
DT Andes Nororientales,Los Estoraques,3000,3000,3000,3000,No aplica,,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,3000
DT Orinoquia,Chingaza,13500,8500,8500,39500,No aplica,,No aplica,No aplica,No aplica,No aplica,12500,31000,65500,8500,41000,31000,10500,8500,11000,8500,No aplica
DT Orinoquia,Sierra de la Macarena,No aplica,No aplica,No aplica,No aplica,No aplica,,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica
DT Orinoquia,El Tuparro,13500,8500,8500,39500,No aplica,,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,41000,31000,10500,8500,11000,8500,No aplica
DT Caribe,Tayrona,16000,8500,8500,42000,No aplica,,No aplica,No aplica,No aplica,No aplica,12500,31000,65500,8500,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica
DT Caribe,Los Corales del Rosario y San Bernardo,7500,7500,7500,7500,No aplica,,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,7500
DT Caribe,Los Flamencos,No aplica,No aplica,No aplica,No aplica,No aplica,,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica
DT Caribe,Sierra Nevada de Santa Marta,9500,4500,4500,23000,No aplica,,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,39500,29000,No aplica,No aplica,No aplica,No aplica,No aplica
DT Caribe,Isla de Salamanca,16000,8500,8500,42000,No aplica,,No aplica,No aplica,No aplica,No aplica,12500,31000,65500,8500,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica
DT Caribe,Old Providence Mc Bean Lagoon,9500,4500,4500,16000,No aplica,,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica
DT Caribe,Los Colorados,5500,5500,5500,$ 5.500,No aplica,,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,5500
DT Caribe,Macuira,13500,8500,8500,39500,No aplica,,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica
DT Amazonia,Amacayacu,16000,8500,8500,42000,No aplica,,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica
